FID,MSOA21CD,MSOA21NM,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,mean_AI,Shape__Area,Shape__Length
380,E02000405,Haringey 009,6.96673185641,0,22.0220375491,2,9052.03244162,6.99654302954,1782031.90513611,9052.03244162238
381,E02000406,Haringey 010,23.3368471582,8.90131483197,37.5938222084,5,3076.10629781,23.4429839217,458017.502052307,3076.10629780611
382,E02000407,Haringey 011,19.2028130949,8.17121237135,38.1340818268,4,3953.06555164,18.375673893,522123.271308899,3953.06555163735
383,E02000408,Haringey 012,18.7774805822,9.97026042232,38.0001726856,5,4898.99850933,21.3061595769,517849.044952393,4898.99850933475
384,E02000409,Haringey 013,7.29320767531,2.97276687251,17.9223710883,2,6343.82043656,7.82781864498,694069.88394165,6343.82043656258
385,E02000410,Haringey 014,8.9637347471,2.28626267354,19.54663357,2,5859.06071057,9.2362171586,752136.614646912,5859.06071057205
386,E02000411,Haringey 015,13.7586439522,2.20790348855,33.9921220223,3,7476.60992538,14.6227414332,1393582.98254395,7476.60992538459
387,E02000412,Haringey 016,33.172545133,6.218044564,52.1565669456,6a,4381.60239785,30.7942475253,771559.180236816,4381.60239785234
388,E02000413,Haringey 017,4.49893561187,0,14.9879642139,2,8327.13927738,5.34273159427,1218967.97190857,8327.13927737703
389,E02000414,Haringey 018,7.194559597,3.36750741388,25.5805422672,3,3608.46862298,10.2076397769,409336.986244202,3608.468622977
390,E02000415,Haringey 019,15.8658811166,2.53718815754,52.4418661888,4,4884.36542629,18.4923703951,704097.367286682,4884.3654262864
391,E02000416,Haringey 020,8.823020887,0,20.4373721653,2,5933.77482919,8.95388072113,628532.537223816,5933.77482918916
392,E02000417,Haringey 021,7.89350057957,0,16.8668697299,2,6834.52044487,8.134677009,1059599.13883972,6834.52044486785
393,E02000418,Haringey 022,7.26624843697,3.65492859266,12.8806344863,2,6589.53165926,7.37446438949,713273.703269958,6589.53165926022
394,E02000419,Haringey 023,21.5691604554,5.39929421968,52.3001015488,5,4827.85269947,23.8258718816,642440.083473206,4827.85269947387
395,E02000420,Haringey 024,13.3791564796,5.57371553907,43.7847407438,4,4928.93821865,17.4766840553,577295.992027283,4928.9382186475
396,E02000421,Haringey 025,30.1162942349,4.28010044027,39.7653733942,6a,5375.52477802,27.8953114475,783891.615715027,5375.52477801773
397,E02000422,Haringey 026,9.38546163864,5.14775402273,29.4728462551,3,4644.99901764,10.9337234067,542438.720695496,4644.99901764393
398,E02000423,Haringey 027,11.1129733689,3.74660695805,34.3537978797,3,4381.66926612,12.034229639,554940.739311218,4381.66926611889
399,E02000424,Haringey 028,8.63883222909,0,16.3005472813,2,4590.05422614,8.64204786949,666188.214157104,4590.05422614457
400,E02000425,Haringey 029,15.4387832371,0,32.277749783,3,3775.67393625,14.7138029089,540908.866073608,3775.67393624749
401,E02000426,Haringey 030,6.53930474081,0,20.8117225581,2,8490.44006571,7.94643508678,2229190.11174011,8490.44006570935
402,E02000427,Haringey 031,20.2703273493,2.59837787877,56.4382412486,5,7145.81204941,21.7201947968,1073815.06417084,7145.81204940634
403,E02000428,Haringey 032,11.9180233051,0,24.8927111849,3,4640.34945022,12.0145089872,596740.53881073,4640.34945021731
404,E02000429,Haringey 033,7.25999360043,1.9744123501,15.8716736178,2,5436.05385367,7.76666060066,980849.095825195,5436.05385367324
405,E02000430,Haringey 034,10.1948321468,4.20710012776,30.8408868771,3,6026.2045016,10.2889396052,658122.034057617,6026.20450160378
406,E02000431,Haringey 035,16.3173429447,2.87391702601,23.7853844218,4,3568.86435084,15.5343248862,609088.224731445,3568.8643508441
407,E02000432,Haringey 036,11.2072406775,5.43668605599,52.9961332539,4,4332.07331656,18.2460211007,536150.563453674,4332.07331656106
408,E02000433,Harrow 001,2.32405782444,0,17.6458874658,1b,15325.387526,2.92188301861,6318055.66024017,15325.3875259723
409,E02000434,Harrow 002,6.24946481382,0,25.3712102013,2,7802.66530506,6.68713196855,1962753.20413971,7802.66530505834
410,E02000435,Harrow 003,3.32094343446,0,11.084934287,1b,8818.27105315,3.50068102157,1806705.28573608,8818.27105314937
411,E02000436,Harrow 004,0,0,12.5586089845,1a,16743.0310432,1.56370942464,4721892.68501282,16743.0310432199
412,E02000437,Harrow 005,8.18409081069,0,15.3463869108,2,11007.1848663,7.89707972203,1396669.90953827,11007.18486633
413,E02000438,Harrow 006,6.94641821146,0,11.5567725564,2,11565.7918737,6.53210637385,1751299.31693268,11565.7918736616
414,E02000439,Harrow 007,8.15540859178,0,28.7384532012,2,5908.58544914,8.61247846699,1063505.52063751,5908.58544914263
415,E02000440,Harrow 008,4.25107002006,0,11.4442654681,1b,7774.73313412,4.70459598864,1495151.89411926,7774.73313411519
416,E02000441,Harrow 009,1.92537594167,0,14.2097715921,1a,8752.71142753,2.49029535157,2335922.24550629,8752.71142753418
417,E02000442,Harrow 010,6.10437821754,0,19.8475710903,2,8724.97148414,6.63357068991,1139682.76585388,8724.971484136
418,E02000443,Harrow 011,7.86752977,0,16.6427334664,2,5097.70072209,8.20689429131,978238.003921509,5097.70072208534
419,E02000444,Harrow 012,5.10684781956,1.75791631969,11.3983642867,2,8582.4837552,5.65555384214,1094298.47557068,8582.48375520332
420,E02000445,Harrow 013,8.51025452111,0,21.5304121103,2,6802.07093844,9.89423382037,1250895.30754089,6802.07093844199
421,E02000447,Harrow 015,4.79408373191,0,14.6800085877,1b,9600.15179327,4.94280278917,2123830.68589783,9600.15179326659
422,E02000448,Harrow 016,9.32731616172,0,16.5830018436,2,10830.0731542,8.02487086463,1720266.85748291,10830.0731542479
423,E02000449,Harrow 017,5.55454367888,2.39819535992,15.0809270821,2,5871.06338826,7.16912618113,918335.043884277,5871.06338826036
424,E02000451,Harrow 019,4.70395582462,0,18.8521221096,2,9157.32360729,6.6043198601,1599302.33699799,9157.32360729386
425,E02000452,Harrow 020,12.7273391365,0,46.5189730246,3,9110.68566395,13.7910789339,1124625.62848663,9110.68566394535
426,E02000453,Harrow 021,8.99207613549,0,36.9613828395,3,6129.90233705,10.5125496638,1034138.67888641,6129.90233704602
427,E02000454,Harrow 022,3.81687425442,0,15.6859596068,1b,8742.43136827,4.37218440637,1566777.36540222,8742.4313682719
428,E02000455,Harrow 023,25.6205432271,0,46.4476653986,5,7343.5462571,24.3963210974,1231718.83507538,7343.5462570975
429,E02000456,Harrow 024,10.9852907035,3.20545484591,35.7501143391,3,5541.25159216,12.824677241,925407.505447388,5541.25159215821
430,E02000457,Harrow 025,8.39344195116,0,20.4315137276,2,6673.75664852,8.35383809323,1159970.99507904,6673.75664851735
431,E02000459,Harrow 027,9.58266275748,0,24.7390312687,3,7580.59354305,11.3209736739,1199643.75977325,7580.59354305453
432,E02000460,Harrow 028,6.06086098533,1.50953618873,16.4955268704,2,6020.83490681,6.73130797525,866122.198417664,6020.83490681468
433,E02000461,Harrow 029,6.98242954528,0,35.2521239668,2,9975.05574406,8.31580696411,2662239.44522858,9975.05574406067
434,E02000462,Harrow 030,11.8985352261,1.32401386575,27.7747706162,3,5450.0982239,12.7000114738,999642.547714233,5450.09822389733
435,E02000463,Harrow 031,5.32367547015,1.31219227112,10.1601368476,2,6239.22922206,5.08604979037,928825.902397156,6239.22922205897
436,E02000464,Havering 001,0,0,9.89078242279,1a,16172.8363573,1.66281765039,5857407.04927826,16172.8363573462
437,E02000465,Havering 002,4.98394524773,0,9.97022363015,1b,12430.4444718,4.12152942304,2800641.43704987,12430.4444717576
438,E02000466,Havering 003,0.559126942598,0,9.12660130321,1a,13994.3599786,1.29284766912,6279437.31408691,13994.3599786001
